date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:12:34	67/67	---M--	200	added ('OK')	text/plain	date:Tue,%2019%20May%202020%2021:42:32%20GMT	https://www.luxasia.com/robots.txt		(from )
03:12:35	76613/76613	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2021:42:33%20GMT	https://www.luxasia.com/	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/index.html	(from )
03:12:35	3593/3593	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Aug%202019%2010:23:03%20GMT	https://www.luxasia.com/wp-content/themes/luxasia/assets/images/favicon-96x96.png	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/themes/luxasia/assets/images/favicon-96x96.png	(from https://www.luxasia.com/)
03:12:36	3274/3274	---M-Z	200	added ('OK')	text/css	date:Tue,%2019%20May%202020%2021:42:36%20GMT	https://use.typekit.net/wpi1ftc.css	D:/xampp/htdocs/Atlancey/luxasia/use.typekit.net/wpi1ftc.css	(from https://www.luxasia.com/)
03:12:37	228581/228581	---M-Z	200	added ('OK')	text/css	date:Wed,%2011%20Dec%202019%2015:37:08%20GMT	https://www.luxasia.com/wp-content/themes/luxasia/assets/style.css?821626	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/themes/luxasia/assets/style50ed.css	(from https://www.luxasia.com/)
03:12:38	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2019%20May%202020%2021:42:37%20GMT	https://www.luxasia.com/wp-content/themes/luxasia/assets/magnific-popup.css;%20?>	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/themes/luxasia/assets/magnific-popupcedf.css;	(from https://www.luxasia.com/)
03:12:38	5236/5236	---M-Z	200	added ('OK')	text/css	date:Mon,%2005%20Aug%202019%2010:23:40%20GMT	https://www.luxasia.com/wp-content/themes/luxasia/assets/magnific-popup.css?	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/themes/luxasia/assets/magnific-popupd41d.css	(from https://www.luxasia.com/)
03:12:41	26053/26053	---M-Z	200	added ('OK')	text/css	etag:W/%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	D:/xampp/htdocs/Atlancey/luxasia/unpkg.com/aos@2.3.1/dist/aos.css	(from https://www.luxasia.com/)
03:12:42	14239/14239	---M-Z	200	added ('OK')	application/javascript	etag:W/%22379f-cNv9OKDx/DsafZ+tq1h4ZITDTxc%22	https://unpkg.com/aos@2.3.1/dist/aos.js	D:/xampp/htdocs/Atlancey/luxasia/unpkg.com/aos@2.3.1/dist/aos.js	(from https://www.luxasia.com/)
03:12:43	17430/17430	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cee54dd-4416%22	http://cdnjs.cloudflare.com/ajax/libs/ScrollMagic/2.0.7/ScrollMagic.min.js	D:/xampp/htdocs/Atlancey/luxasia/cdnjs.cloudflare.com/ajax/libs/ScrollMagic/2.0.7/ScrollMagic.min.js	(from https://www.luxasia.com/)
03:12:43	7096/7096	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cee54d8-1bb8%22	http://cdnjs.cloudflare.com/ajax/libs/ScrollMagic/2.0.7/plugins/debug.addIndicators.min.js	D:/xampp/htdocs/Atlancey/luxasia/cdnjs.cloudflare.com/ajax/libs/ScrollMagic/2.0.7/plugins/debug.addIndicators.min.js	(from https://www.luxasia.com/)
03:12:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2019%20May%202020%2021:42:43%20GMT	http://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	D:/xampp/htdocs/Atlancey/luxasia/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.b.delayed	(from https://www.luxasia.com/)
03:12:44	96381/96381	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	D:/xampp/htdocs/Atlancey/luxasia/ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	(from https://www.luxasia.com/)
03:12:44	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	D:/xampp/htdocs/Atlancey/luxasia/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from https://www.luxasia.com/)
